Assembly	SAMPLE3_SE.scaffolds	SAMPLE1_PE.scaffolds	SAMPLE2_PE.scaffolds
# misassemblies	0	0	0
  # contig misassemblies	0	0	0
    # c. relocations	0	0	0
    # c. translocations	0	0	0
    # c. inversions	0	0	0
  # scaffold misassemblies	0	0	0
    # s. relocations	0	0	0
    # s. translocations	0	0	0
    # s. inversions	0	0	0
# misassembled contigs	0	0	0
Misassembled contigs length	0	0	0
# local misassemblies	1	0	0
# scaffold gap ext. mis.	0	0	0
# scaffold gap loc. mis.	0	0	0
# unaligned mis. contigs	0	0	0
# mismatches	4	6	9
# indels	0	0	1
    # indels (<= 5 bp)	0	0	1
    # indels (> 5 bp)	0	0	0
Indels length	0	0	1
